Year,Month,National,BM,BW,HM,HW,WM,WW,Bachelor,High_School,Less_High_School,Some_College
2020,2,3.5,6.4,5.3,3.2,4.9,3.2,3,1.9,3.6,5.7,1.9
2020,1,3.6,6.1,5.8,3.4,4.4,3.3,2.9,2,3.8,5.5,2
2019,12,3.5,6.3,5.5,3,4.5,3.2,3.2,1.9,3.7,5.2,1.9
2019,11,3.5,5.7,5.4,3,4.3,3.3,3.2,2,3.7,5.3,2
2019,10,3.6,5.6,5.3,3.4,3.9,3.3,3.2,2.1,3.7,5.5,2.1
2019,9,3.5,5.8,5.2,3,3.8,3.2,3.2,2,3.6,4.8,2
2019,8,3.7,6.2,4.7,3.4,4.2,3.3,3.5,2.1,3.6,5.4,2.1
2019,7,3.7,6.1,5.7,4,3.8,3.3,3.3,2.1,3.6,5.2,2.1
2019,6,3.7,6.1,5.9,3.6,4.2,3.2,3.3,2.1,3.9,5.3,2.1
2019,5,3.6,6.8,5.6,3.5,4.1,3.3,3.3,2.1,3.6,5.4,2.1
2019,4,3.6,7.3,5.9,3.7,3.7,3.3,3,2.1,3.4,5.3,2.1
2019,3,3.8,7.4,5.8,4,4.4,3.5,3.3,2,3.7,5.8,2
2019,2,3.8,7.8,6.1,3.6,3.9,3.3,3.2,2.2,3.7,5.3,2.2
2019,1,4,7.7,6,4,4.8,3.6,3.4,2.4,3.7,5.7,2.4
2018,12,3.9,7.1,6.1,3.5,4.3,3.4,3.4,2.2,3.8,5.8,2.2
2018,11,3.7,6.5,5.6,3.5,4.6,3.3,3.5,2.2,3.5,5.6,2.2
2018,10,3.8,7.2,5.5,3.9,4.3,3.3,3.4,2,4,5.9,2
2018,9,3.7,6.6,5.8,3.9,4.3,3.3,3.2,2,3.8,5.7,2
2018,8,3.8,6.5,6.2,3.7,5,3.4,3.4,2,3.9,5.7,2
2018,7,3.8,6.9,6.4,3.2,4.7,3.2,3.4,2.2,4.1,5.2,2.2
2018,6,4,7.3,5.8,3.8,4.8,3.5,3.5,2.3,4.1,5.5,2.3
2018,5,3.8,7.1,4.8,3.9,5.1,3.6,3.5,2,3.9,5.5,2
2018,4,4,7.1,5.8,4,4.8,3.7,3.4,2.1,4.3,5.8,2.1
